459,Cork Airport,Cork,Ireland,ORK
460,Galway Airport,Galway,Ireland,GWY
461,Dublin Airport,Dublin,Ireland,DUB
462,Ireland West Knock Airport,Connaught,Ireland,NOC
463,Kerry Airport,Kerry,Ireland,KIR
464,Shannon Airport,Shannon,Ireland,SNN
465,Sligo Airport,Sligo,Ireland,SXL
466,Waterford Airport,Waterford,Ireland,WAT
467,Aarhus Airport,Aarhus,Denmark,AAR
468,Billund Airport,Billund,Denmark,BLL
469,Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH
470,Esbjerg Airport,Esbjerg,Denmark,EBJ
471,Karup Airport,Karup,Denmark,KRP
472,Odense Airport,Odense,Denmark,ODE
473,Copenhagen Roskilde Airport,Copenhagen,Denmark,RKE
474,Bornholm Airport,Ronne,Denmark,RNN
475,Sønderborg Airport,Soenderborg,Denmark,SGD
476,Skrydstrup Air Base,Skrydstrup,Denmark,SKS
477,Thisted Airport,Thisted,Denmark,TED
478,Vagar Airport,Vagar,Faroe Islands,FAE
479,Stauning Airport,Stauning,Denmark,STA
480,Aalborg Airport,Aalborg,Denmark,AAL
481,Luxembourg-Findel International Airport,Luxemburg,Luxembourg,LUX
482,Ålesund Airport,Alesund,Norway,AES
483,Andøya Airport,Andoya,Norway,ANX
484,Alta Airport,Alta,Norway,ALF
485,Brønnøysund Airport,Bronnoysund,Norway,BNN
486,Bodø Airport,Bodo,Norway,BOO
487,Bergen Airport Flesland,Bergen,Norway,BGO
488,Båtsfjord Airport,Batsfjord,Norway,BJF
489,Kristiansand Airport,Kristiansand,Norway,KRS
490,Bardufoss Airport,Bardufoss,Norway,BDU
491,"Harstad/Narvik Airport, Evenes",Harstad/Narvik,Norway,EVE
492,Leirin Airport,Fagernes,Norway,VDB
493,Florø Airport,Floro,Norway,FRO
